cluster,n_atoms,E_cluster,BE_per_atom
C-169395-3151-168,240,-8.552327677571379,-7.334365301343452
C-169395-3151-17,240,-8.205388354632067,-7.335810881855699
C-169395-3151-19,240,-8.81904456570593,-7.333253980976225
C-169395-3151-2,240,-10.62040018307953,-7.325748332570502
C-169395-3151-20,240,-11.13661422474671,-7.3235974407302225
C-169395-3151-22,240,-9.905698774592754,-7.328726255105863
C-169395-3151-23,240,-8.745557618495786,-7.333560176589601
C-169395-3151-24,240,-8.552653335131861,-7.33436394443695
C-169395-3151-25,240,-8.62289831540888,-7.334071257019129
C-169395-3151-26,240,-8.497547941464536,-7.3345935502438975
C-169395-3151-27,240,-9.865168936952205,-7.328895129429366
C-169395-3151-28,240,-9.496055221659176,-7.330433103243086
C-169395-3151-29,240,-8.790503994185517,-7.333372900024227
C-169395-3151-3,240,-8.81964370213929,-7.333251484574419
C-169395-3151-30,240,-8.665867560013222,-7.333892218499945
C-169395-3151-31,240,-8.547481521242755,-7.334385493661488
C-169395-3151-32,240,-8.55267143829165,-7.3343638690071185
C-169395-3151-33,240,-8.632171461331327,-7.334032618911119
C-169395-3151-35,240,-8.360434267648673,-7.33516485721813
C-169395-3151-36,240,-8.647642581830649,-7.333968155909038
C-169395-3151-37,240,-7.751304244594053,-7.337702898980857
C-169395-3151-38,240,-10.3143812757749,-7.327023411350938
C-169395-3151-39,240,-8.814570366422778,-7.333272623473238
C-169395-3151-4,240,-8.941860565952055,-7.332742247641866
C-169395-3151-40,240,-8.706173349169044,-7.333724277711795
C-169395-3151-41,240,-8.620153289787543,-7.334082694625885
C-169395-3151-43,240,-8.455777074539126,-7.334767595522753
C-169395-3151-44,240,-9.298296105125484,-7.331257099561977
C-169395-3151-45,240,-9.223168944585964,-7.331570129397559
C-169395-3151-46,240,-7.83992577832137,-7.337333642590327
C-169395-3151-47,240,-9.134471231128908,-7.33193970320363
C-169395-3151-48,240,-8.626544714787062,-7.334056063688387
C-169395-3151-49,240,-9.63669715180153,-7.329847095200827
C-169395-3151-50,240,-8.136477729238623,-7.336098009461506
C-169395-3151-52,240,-8.728838965649562,-7.333629837643127
C-169395-3151-53,240,-8.790505703570604,-7.333372892901789
C-169395-3151-54,240,-8.543526423040465,-7.334401973237331
C-169395-3151-55,240,-7.724023580029693,-7.337816568416542
C-169395-3151-56,240,-8.53991229462337,-7.334417032105736
C-169395-3151-57,240,-8.695125269358147,-7.333770311377674
C-169395-3151-59,240,-8.925274338061504,-7.332811356924744
C-169395-3151-6,240,-8.810111062198427,-7.333291203907506
C-169395-3151-60,240,-7.242135314027188,-7.339824436191553
C-169395-3151-61,240,-8.620148922497767,-7.334082712822926
C-169395-3151-62,240,-8.98438678071315,-7.332565055080362
C-169395-3151-63,240,-8.819654002592863,-7.333251441655863
C-169395-3151-65,240,-9.107586819499836,-7.332051721585417
C-169395-3151-66,240,-8.722039586825112,-7.3336581683882285
C-169395-3151-67,240,-9.166856491102113,-7.331804764620407
C-169395-3151-68,240,-9.865159755709032,-7.3288951676845455
C-169395-3151-69,240,-10.17343081897179,-7.327610704920951
C-169395-3151-7,240,-8.445267595412812,-7.334811385019113
C-169395-3151-72,240,-8.790513809470662,-7.333372859127206
C-169395-3151-73,240,-8.936060723638152,-7.332766413651508
C-169395-3151-75,240,-8.813353592198043,-7.333277693365841
C-169395-3151-76,240,-8.984392960930148,-7.332565029329458
C-169395-3151-77,240,-10.51532832469556,-7.326186131980435
C-169395-3151-78,240,-8.984394463582335,-7.332565023068407
C-169395-3151-79,240,-8.719717469437187,-7.333667843877345
