cluster	n_atoms	BE_per_atom	E_cluster	BE_category	size_category	energy_category	stability_index	size_efficiency	structural_category	density_category	compactness	be_rank	size_rank	efficiency_rank
C-53965-5632-310	240	-7.323832861226034	-11.08011330575188	Medium	Very Large	Low E	0.45519564976044935	-1.3352969945899116	Linear	Low Density	10.007704616995417	268.0	2616.0	268.0
C-53965-5632-312	240	-7.328737287253613	-9.903051059132949	Low	Very Large	Medium E	0.3168168963074758	-1.3361911801152921	Intermediate	Low Density	10.458485421506357	588.0	2616.0	588.0
C-53965-5632-314	240	-7.335224315482934	-8.346164284095806	Very Low	Very Large	Medium E	0.13378490134215057	-1.3373739090855683	Spherical	Low Density	10.275027232453198	4831.0	2616.0	4830.0
C-53965-5632-315	240	-7.332565075835033	-8.984381799592104	Low	Very Large	Medium E	0.2088155502988243	-1.336889070780678	Linear	Low Density	10.218095615070938	1862.0	2616.0	1862.0
C-53965-5632-316	240	-7.332955416055726	-8.890700146625742	Very Low	Very Large	Medium E	0.19780207127838625	-1.336960238451136	Intermediate	Low Density	10.224120729881546	2394.0	2616.0	2394.0
C-53965-5632-317	240	-7.3336665581355	-8.72002604748007	Very Low	Very Large	Medium E	0.17773714340025032	-1.3370898954080659	Intermediate	Low Density	10.311104181669135	3346.0	2616.0	3346.0
C-53965-5632-318	240	-7.332565010427373	-8.984397497430274	Low	Very Large	Medium E	0.20881739578091926	-1.3368890588554123	Linear	Low Density	10.165510915338194	1624.0	2616.0	1624.0
C-53965-5632-319	240	-7.332280443805389	-9.052693486706602	Low	Very Large	Medium E	0.21684646466749624	-1.3368371760554774	Intermediate	Low Density	10.2218897319291	1451.0	2616.0	1451.0
C-53965-5632-32	240	-7.333158516666715	-8.841955999988418	Very Low	Very Large	Medium E	0.19207157208926026	-1.3369972681923374	Spherical	Low Density	10.610516348880287	2534.0	2616.0	2534.0
C-53965-5632-320	240	-7.328895163004318	-9.865160878963696	Low	Very Large	Medium E	0.3123624199915722	-1.3362199643624793	Intermediate	Low Density	10.138355557473412	683.0	2616.0	683.0
C-53965-5632-321	240	-7.334371587689178	-8.55081895459727	Very Low	Very Large	Medium E	0.15784468091087275	-1.3372184379160617	Spherical	Low Density	10.134473699859479	3917.0	2616.0	3916.0
C-53965-5632-322	240	-7.33493755664401	-8.414986405437604	Very Low	Very Large	Medium E	0.14187582379644076	-1.3373216265959151	Linear	Low Density	10.500406944840533	4535.0	2616.0	4534.0
C-53965-5632-323	240	-7.334348192402077	-8.556433823501473	Very Low	Very Large	Medium E	0.15850478071614219	-1.3372141724368862	Linear	Low Density	10.31953183603196	3860.0	2616.0	3859.0
C-53965-5632-325	240	-7.334230944007023	-8.584573438314242	Very Low	Very Large	Medium E	0.16181295310180538	-1.337192795456758	Spherical	Low Density	10.178305000093086	3802.0	2616.0	3801.0
C-53965-5632-326	240	-7.333253948457397	-8.819052370224737	Very Low	Very Large	Medium E	0.18937895685556355	-1.3370146675221284	Intermediate	Low Density	10.374680206433217	2688.0	2616.0	2688.0
C-53965-5632-327	240	-7.334825792833244	-8.441809720021451	Very Low	Very Large	Medium E	0.14502924821919821	-1.3373012495770171	Intermediate	Low Density	10.094896612448304	4508.0	2616.0	4507.0
C-53965-5632-328	240	-7.324763345689002	-10.85679703463971	Medium	Very Large	Low E	0.4289419598548839	-1.335466642522962	Spherical	Low Density	9.828075700846513	320.0	2616.0	320.0
C-53965-5632-329	240	-7.33256502755228	-8.984393387452664	Low	Very Large	Medium E	0.20881691260037047	-1.3368890619776623	Linear	Low Density	10.505623829412993	1678.0	2616.0	1678.0
C-53965-5632-330	240	-7.3341358587954435	-8.607393889093693	Very Low	Very Large	Medium E	0.16449578957974084	-1.3371754593160161	Spherical	Low Density	10.644253286916586	3785.0	2616.0	3784.0
C-53965-5632-332	240	-7.334051869496747	-8.627551320780535	Very Low	Very Large	Medium E	0.16686555403161235	-1.3371601462060296	Linear	Low Density	10.260878836235422	3632.0	2616.0	3632.0
C-53965-5632-333	240	-7.33201329557257	-9.11680906258319	Low	Very Large	Medium E	0.22438407237872815	-1.3367884690138023	Linear	Low Density	10.170059786215901	1315.0	2616.0	1315.0
C-53965-5632-334	240	-7.328692790388541	-9.913730306750276	Low	Very Large	Medium E	0.3180723787404216	-1.336183067350934	Linear	Low Density	10.379515349223041	580.0	2616.0	580.0
C-53965-5632-335	240	-7.334133709219286	-8.607909787371165	Very Low	Very Large	Medium E	0.16455644003453318	-1.3371750674006575	Spherical	Low Density	10.014800870490582	3784.0	2616.0	3783.0
C-53965-5632-336	240	-7.334423994742218	-8.538241261867901	Very Low	Very Large	Medium E	0.15636601192270558	-1.337227992882941	Linear	Low Density	10.63424536818425	4124.0	2616.0	4123.0
C-53965-5632-337	240	-7.333978734273885	-8.645103774267552	Very Low	Very Large	Medium E	0.16892906990813067	-1.3371468120345464	Spherical	Low Density	10.176235701122234	3537.0	2616.0	3537.0
C-53965-5632-338	240	-7.333321925593117	-8.802737857651966	Very Low	Very Large	Medium E	0.18746097680014628	-1.337027061260045	Spherical	Low Density	10.464369627954481	2940.0	2616.0	2940.0
C-53965-5632-339	240	-7.3299710539509615	-9.6069470517692	Low	Very Large	Medium E	0.28200607508786796	-1.3364161231190732	Intermediate	Low Density	9.959502575039664	901.0	2616.0	901.0
C-53965-5632-34	240	-7.332565039272636	-8.984390574567335	Low	Very Large	Medium E	0.2088165819096526	-1.3368890641145428	Intermediate	Low Density	9.903376978805229	1725.0	2616.0	1725.0
C-53965-5632-340	240	-7.333172610521107	-8.83857347493422	Very Low	Very Large	Medium E	0.19167391291545588	-1.3369998378142511	Intermediate	Low Density	10.501181219891196	2538.0	2616.0	2538.0
C-53965-5632-342	240	-7.333372879499362	-8.790508920153057	Very Low	Very Large	Medium E	0.1860233084593144	-1.3370363512860683	Linear	Low Density	10.451540741222962	2997.0	2616.0	2997.0
C-53965-5632-343	240	-7.3332649624772355	-8.81640900546336	Very Low	Very Large	Medium E	0.1890681954479755	-1.3370166756219672	Intermediate	Low Density	10.140404882273057	2768.0	2616.0	2768.0
C-53965-5632-344	240	-7.33550327546239	-8.279213889026337	Very Low	Very Large	Medium E	0.12591402430102996	-1.3374247696703516	Intermediate	Low Density	10.414707240595352	4982.0	2616.0	4981.0
